"";"company_id";"indicator_id";"2011";"2012";"2013";"2014";"2015";"2016";"empresa"
"1";1443669;"AccountsPayableCurrent";NA;4758000;6455000;7882000;13643000;11322000;"Proto Labs"
"2";1443669;"AccountsReceivableNetCurrent";NA;15791000;18320000;24226000;36125000;34060000;"Proto Labs"
"3";1443669;"AccretionAmortizationOfDiscountsAndPremiumsInvestments";NA;NA;-1468000;-1517000;-1234000;-1173000;"Proto Labs"
"4";1443669;"AccruedIncomeTaxesCurrent";NA;NA;NA;1953000;NA;NA;"Proto Labs"
"5";1443669;"AccruedLiabilitiesAndOtherLiabilities";NA;513000;808000;2718000;2626000;4435000;"Proto Labs"
"6";1443669;"AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment";NA;21192000;28416000;37495000;46717000;57759000;"Proto Labs"
"7";1443669;"AccumulatedOtherComprehensiveIncomeLossNetOfTax";NA;-928000;-1091000;-2929000;-5212000;-10753000;"Proto Labs"
"8";1443669;"AdditionalPaidInCapitalCommonStock";NA;147032000;166861000;180960000;198835000;213857000;"Proto Labs"
"9";1443669;"AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue";NA;3039000;3461000;4809000;6082000;6775000;"Proto Labs"
"10";1443669;"AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation";NA;NA;9873000;4470000;5539000;2532000;"Proto Labs"
"11";1443669;"AdvertisingExpense";NA;5900000;6800000;8500000;1e+07;10500000;"Proto Labs"
"12";1443669;"AllocatedShareBasedCompensationExpense";NA;NA;3461000;4809000;6082000;6775000;"Proto Labs"
"13";1443669;"AllocatedShareBasedCompensationExpenseNetOfTax";NA;2195000;2614000;3285000;4223000;4733000;"Proto Labs"
"14";1443669;"AllowanceForDoubtfulAccountsReceivableCurrent";NA;154000;90000;198000;330000;442000;"Proto Labs"
"15";1443669;"AmortizationOfIntangibleAssets";NA;NA;NA;5e+05;7e+05;7e+05;"Proto Labs"
"16";1443669;"AssetImpairmentCharges";NA;NA;NA;NA;NA;455000;"Proto Labs"
"17";1443669;"Assets";NA;172722000;230175000;287514000;361036000;414241000;"Proto Labs"
"18";1443669;"AssetsCurrent";NA;90156000;109795000;108344000;138002000;157784000;"Proto Labs"
"19";1443669;"BasicEarningsPerShareProForma";NA;1,03;1,4;NA;NA;NA;"Proto Labs"
"20";1443669;"BuildingsAndImprovementsGross";NA;13114000;13655000;29995000;37297000;48467000;"Proto Labs"
"21";1443669;"BusinessCombinationBargainPurchaseGainRecognizedAmount";NA;NA;NA;NA;344000;NA;"Proto Labs"
"22";1443669;"CapitalLeasedAssetsGross";NA;1512000;1240000;1167000;NA;NA;"Proto Labs"
"23";1443669;"CapitalLeasesFutureMinimumPaymentsDue";NA;690000;387000;165000;NA;NA;"Proto Labs"
"24";1443669;"CapitalLeasesFutureMinimumPaymentsDueCurrent";NA;311000;222000;154000;NA;NA;"Proto Labs"
"25";1443669;"CapitalLeasesFutureMinimumPaymentsDueInFourYears";NA;11000;NA;NA;NA;NA;"Proto Labs"
"26";1443669;"CapitalLeasesFutureMinimumPaymentsDueInThreeYears";NA;151000;11000;NA;NA;NA;"Proto Labs"
"27";1443669;"CapitalLeasesFutureMinimumPaymentsDueInTwoYears";NA;217000;154000;11000;NA;NA;"Proto Labs"
"28";1443669;"CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments";NA;61000;24000;16000;NA;NA;"Proto Labs"
"29";1443669;"CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments";NA;629000;363000;149000;NA;NA;"Proto Labs"
"30";1443669;"CapitalizedComputerSoftwareGross";NA;5019000;NA;NA;NA;NA;"Proto Labs"
"31";1443669;"CapitalizedComputerSoftwareNet";NA;NA;NA;NA;NA;0;"Proto Labs"
"32";1443669;"CashAndCashEquivalentsAtCarryingValue";NA;36759000;43039000;43329000;47653000;68795000;"Proto Labs"
"33";1443669;"CashAndCashEquivalentsPeriodIncreaseDecrease";NA;28624000;6280000;290000;4324000;21142000;"Proto Labs"
"34";1443669;"CommonStockParOrStatedValuePerShare";NA;0,001;0,001;0,001;0,001;0,001;"Proto Labs"
"35";1443669;"CommonStockSharesAuthorized";NA;1,5e+08;1,5e+08;1,5e+08;1,5e+08;1,5e+08;"Proto Labs"
"36";1443669;"CommonStockSharesIssued";NA;24803640;25546107;25838110;26200718;26504868;"Proto Labs"
"37";1443669;"CommonStockSharesOutstanding";NA;24803640;25546107;25838110;26200718;26504868;"Proto Labs"
"38";1443669;"CommonStockValue";NA;25000;26000;26000;26000;26000;"Proto Labs"
"39";1443669;"ComprehensiveIncomeNetOfTax";NA;23835000;35114000;39797000;44231000;37166000;"Proto Labs"
"40";1443669;"ConstructionInProgressGross";NA;1903000;9196000;4004000;6712000;3491000;"Proto Labs"
"41";1443669;"CostOfRevenue";NA;49853000;61410000;81182000;109703000;131118000;"Proto Labs"
"42";1443669;"CurrentFederalTaxExpenseBenefit";NA;10288000;13934000;17413000;15845000;15119000;"Proto Labs"
"43";1443669;"CurrentForeignTaxExpenseBenefit";NA;761000;1762000;2149000;1591000;2439000;"Proto Labs"
"44";1443669;"CurrentStateAndLocalTaxExpenseBenefit";NA;217000;379000;1185000;1074000;1091000;"Proto Labs"
"45";1443669;"DebtInstrumentCarryingAmount";NA;629000;363000;NA;NA;NA;"Proto Labs"
"46";1443669;"DebtInstrumentInterestRateStatedPercentageRateRangeMaximum";NA;0,074;NA;NA;NA;NA;"Proto Labs"
"47";1443669;"DebtInstrumentInterestRateStatedPercentageRateRangeMinimum";NA;0,045;NA;NA;NA;NA;"Proto Labs"
"48";1443669;"DebtLongtermAndShorttermCombinedAmount";NA;NA;NA;NA;NA;0;"Proto Labs"
"49";1443669;"DeferredFederalIncomeTaxExpenseBenefit";NA;-398000;168000;-1821000;2798000;2758000;"Proto Labs"
"50";1443669;"DeferredForeignIncomeTaxExpenseBenefit";NA;-1060000;-335000;130000;294000;-1960000;"Proto Labs"
"51";1443669;"DeferredIncomeTaxExpenseBenefit";NA;-583000;467000;-1875000;2837000;2780000;"Proto Labs"
"52";1443669;"DeferredIncomeTaxLiabilities";NA;NA;4941000;4676000;9012000;12624000;"Proto Labs"
"53";1443669;"DeferredStateAndLocalIncomeTaxExpenseBenefit";NA;65000;-39000;-17000;-38000;75000;"Proto Labs"
"54";1443669;"DeferredTaxAssetsGoodwillAndIntangibleAssets";NA;117000;112000;319000;499000;612000;"Proto Labs"
"55";1443669;"DeferredTaxAssetsInventory";NA;114000;136000;172000;177000;169000;"Proto Labs"
"56";1443669;"DeferredTaxAssetsLiabilitiesNet";NA;-2737000;NA;NA;NA;NA;"Proto Labs"
"57";1443669;"DeferredTaxAssetsNet";NA;1669000;1740000;3342000;4772000;5621000;"Proto Labs"
"58";1443669;"DeferredTaxAssetsNetCurrent";NA;609000;455000;483000;NA;NA;"Proto Labs"
"59";1443669;"DeferredTaxAssetsOperatingLossCarryforwards";NA;4565000;3240000;2842000;2409000;4333000;"Proto Labs"
"60";1443669;"DeferredTaxAssetsOther";NA;NA;217000;527000;856000;983000;"Proto Labs"
"61";1443669;"DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost";NA;963000;1434000;2152000;2828000;3226000;"Proto Labs"
"62";1443669;"DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities";NA;251000;243000;378000;628000;857000;"Proto Labs"
"63";1443669;"DeferredTaxAssetsValuationAllowance";NA;4341000;3642000;3048000;2625000;4559000;"Proto Labs"
"64";1443669;"DeferredTaxLiabilities";NA;4406000;3201000;1334000;4240000;7003000;"Proto Labs"
"65";1443669;"DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill";NA;NA;NA;430000;1067000;1764000;"Proto Labs"
"66";1443669;"DeferredTaxLiabilitiesNoncurrent";NA;3346000;3682000;1846000;4240000;7003000;"Proto Labs"
"67";1443669;"DeferredTaxLiabilitiesPropertyPlantAndEquipment";NA;4406000;4941000;4246000;7945000;10860000;"Proto Labs"
"68";1443669;"DeferredTaxLiabilitiesUndistributedForeignEarnings";NA;NA;NA;NA;0;0;"Proto Labs"
"69";1443669;"DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent";NA;0,5;NA;NA;NA;NA;"Proto Labs"
"70";1443669;"DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent";NA;NA;0,5;0,5;0,5;0,5;"Proto Labs"
"71";1443669;"Depreciation";NA;NA;NA;10600000;13400000;16800000;"Proto Labs"
"72";1443669;"DepreciationDepletionAndAmortization";NA;6080000;7569000;11138000;14126000;17485000;"Proto Labs"
"73";1443669;"DilutedEarningsPerShareProForma";NA;0,98;1,36;NA;NA;NA;"Proto Labs"
"74";1443669;"EarningsPerShareBasic";NA;1,03;1,4;1,62;1,79;1,62;"Proto Labs"
"75";1443669;"EarningsPerShareDiluted";NA;0,98;1,36;1,6;1,77;1,61;"Proto Labs"
"76";1443669;"EffectOfExchangeRateOnCashAndCashEquivalents";NA;-220000;209000;-457000;-877000;-917000;"Proto Labs"
"77";1443669;"EffectiveIncomeTaxRateContinuingOperations";NA;0,313;0,316;0,312;0,315;0,334;"Proto Labs"
"78";1443669;"EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate";NA;0,35;0,35;0,35;0,35;0,35;"Proto Labs"
"79";1443669;"EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance";NA;0,035;0,008;-0,002;-0,003;0,031;"Proto Labs"
"80";1443669;"EffectiveIncomeTaxRateReconciliationDeductionsQualifiedProductionActivities";NA;-0,029;0,011;0,021;0,014;0,018;"Proto Labs"
"81";1443669;"EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential";NA;-0,011;-0,016;-0,021;-0,018;-0,028;"Proto Labs"
"82";1443669;"EffectiveIncomeTaxRateReconciliationNondeductibleExpenseResearchAndDevelopment";NA;-0,004;NA;NA;NA;NA;"Proto Labs"
"83";1443669;"EffectiveIncomeTaxRateReconciliationOtherAdjustments";NA;0;-0,003;0,003;0,003;0,009;"Proto Labs"
"84";1443669;"EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes";NA;0,008;0,006;0,005;0,005;0,006;"Proto Labs"
"85";1443669;"EffectiveIncomeTaxRateReconciliationTaxContingencies";NA;NA;0,006;0,004;0,015;0,014;"Proto Labs"
"86";1443669;"EffectiveIncomeTaxRateReconciliationTaxCredits";NA;NA;0,009;NA;NA;NA;"Proto Labs"
"87";1443669;"EffectiveIncomeTaxRateReconciliationTaxCreditsResearch";NA;NA;0,018;0,008;-0,029;0,022;"Proto Labs"
"88";1443669;"EmployeeRelatedLiabilitiesCurrent";NA;5995000;6196000;6067000;9993000;7670000;"Proto Labs"
"89";1443669;"EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized";NA;NA;NA;7500000;7e+06;5300000;"Proto Labs"
"90";1443669;"EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions";NA;5600000;6500000;NA;NA;NA;"Proto Labs"
"91";1443669;"EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense";NA;844000;847000;1524000;1859000;2042000;"Proto Labs"
"92";1443669;"EntityWideDisclosureOnGeographicAreasLongLivedAssetsInEntitysCountryOfDomicile";NA;37869000;NA;NA;NA;NA;"Proto Labs"
"93";1443669;"EntityWideDisclosureOnGeographicAreasLongLivedAssetsInForeignCountries";NA;7447000;NA;NA;NA;NA;"Proto Labs"
"94";1443669;"EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToEntitysCountryOfDomicile";NA;94866000;NA;NA;NA;NA;"Proto Labs"
"95";1443669;"EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries";NA;31125000;NA;NA;NA;NA;"Proto Labs"
"96";1443669;"ExcessTaxBenefitFromShareBasedCompensationFinancingActivities";NA;6218000;9873000;4470000;5539000;2532000;"Proto Labs"
"97";1443669;"ExcessTaxBenefitFromShareBasedCompensationOperatingActivities";NA;6218000;9873000;4470000;5539000;2532000;"Proto Labs"
"98";1443669;"FiniteLivedIntangibleAssetsAccumulatedAmortization";NA;NA;NA;497000;1243000;1925000;"Proto Labs"
